titleId	directors	writers
tt0016544	nm0783865	nm0000875,nm0062091,nm0497736,nm0783865
tt0016630	nm0000036	nm0809548,nm0090213,nm0807667,nm0623640,nm0109209,nm0577650
tt0016634	nm0107543	nm0107543,nm0751246,nm0774539,nm0942118
tt0016654	nm0662032	nm0001196,nm0192325
tt0016692	nm0344583	nm0344583,nm0352026,nm0445827
tt0016800	nm0101038,nm0279404	nm0279404
tt0016847	nm0003638	nm0369458,nm0477515,nm0324473
tt0016875	nm0097648	nm0186600,nm0547966
tt0016948	nm0090007	nm0276501,nm0831958,nm0201544,nm0817809
tt0017117	nm0190516	nm0013130,nm0403595,nm0940820
tt0017128	nm0699877	nm0331003,nm0953515
tt0017136	nm0000485	nm0902376,nm0000485
tt0017251	nm0332539	nm0267868,nm0332539,nm0933133
tt0017307	nm0046082	nm0064595,nm0510024,nm0521002
tt0017326	nm0002118	nm0102818,nm0228693,nm0469166
tt0017340	nm0210352	nm0118329,nm0494673
tt0017350	nm0803705	nm0370426,nm0547966
tt0017367	nm0807742	nm0420203,nm0414428
tt0017423	nm0064415,nm0573743	nm0242802,nm0547938,nm0837989
tt0017518	nm0397678	nm0264229,nm0566338
tt0017657	nm0326370	nm0556945,nm0622435
tt0017731	nm0629243	nm0241414,nm0208691,nm0547938,nm0697880,nm0819546
tt0017739	nm0501902	nm0929616,nm0384616,nm0169879,nm0031033,nm0002771
tt0017749	nm0209458	nm0437356,nm0236980
tt0017750	nm0882160	nm0914362,nm0168829,nm0469166
tt0017765	nm0395023,nm0000036	nm0361882,nm0289381
tt0017774	nm0102264,nm0578985	nm0285218,nm0325135
tt0017836	nm0347451	nm0420176,nm0907778
tt0017850	nm0629243	nm0173303,nm0325135,nm0426515,nm0689638
tt0017925	nm0115669,nm0000036	nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548
tt0017961	nm0575963	nm0575963
tt0018033	nm0903049,nm0046082	nm0323325,nm0521002,nm0510024,nm0547938
tt0018037	nm0189076	nm0710723,nm0169879,nm0418772
tt0018080	nm0744504	nm0309618,nm0747844,nm0831958
tt0018107	nm0318105,nm0332539	nm0866243,nm0014703,nm0191956,nm0600641
tt0018183	nm0853130	nm0635841,nm0573865,nm0924065,nm0521002
tt0018192	nm0304098	nm0304098
tt0018233	nm0807742	nm0108469,nm0340719,nm0747844,nm0831958
tt0018302	nm0671501	nm0238243,nm0593477,nm0686582
tt0018318	nm0136888	nm0866243,nm0136888,nm0288986,nm0592217,nm0866242
tt0018328	nm0000033	nm0000033,nm0720904
tt0018397	nm0115218	nm0950150,nm0413353,nm0267868
tt0018489	nm0928214	nm0093397,nm0860145
tt0018512	nm0806061	nm0167769,nm0307819,nm0469166,nm0494673
tt0018524	nm0689471	nm0832952,nm0031033,nm0689471
tt0018526	nm0903049,nm0744504	nm0299153,nm0001328,nm0372942,nm0498133,nm0547938,nm0903049
tt0018662	nm0112897	nm0340719,nm0542534,nm0747844,nm0591791
tt0018689	nm0250034	nm0247394,nm0250034,nm0317319,nm1207181,nm0673585,nm0692715,nm0734931,nm1207545
tt0018721	nm0000370	
tt0018728	nm0412235	
tt0018753	nm0307819	nm0444403,nm0307819,nm0165470,nm0238243,nm0469166
tt0018770	nm0258477	nm0000590,nm0000320,nm0258477
tt0018773	nm0000122	nm0000122
tt0018821	nm0086486	
tt0018851	nm0191899	nm0102167,nm0175902,nm0191899,nm0261455,nm0809548
tt0018870	nm0190516	nm0547966,nm0569658,nm0817809
tt0018873	nm0914682,nm0916410	nm0000590
tt0018876	nm0000033	nm0035199,nm0000033,nm0402855,nm0497961,nm0680914,nm0822627
tt0018908	nm0774325,nm0178260,nm0578985	nm0556571,nm0521002,nm0261455,nm0425456,nm0268513
tt0018935	nm0226189	nm0405934,nm0433288,nm0458283
tt0019043	nm0455938	nm0455938
tt0019045	nm0654868	nm0457560,nm0654868
tt0019130	nm0501902	nm0401076,nm0018470,nm0031033,nm0572610,nm0911709,nm0926417
tt0019131	nm0071560	nm0730039,nm1133492,nm0931989
tt0019163	nm0917857	nm0498088,nm0562372,nm0748034
tt0019186	nm0243295	nm0243295
tt0019252	nm0833965	nm0428177,nm0695456,nm0547938
tt0019254	nm0003433	nm0217865,nm0003433
tt0019258	nm0896542	nm0175194,nm0817809
tt0019286	nm0699877	nm0109283,nm0637210
tt0019288	nm0383304	nm0307819,nm0469166
tt0019307	nm0782707	nm0782707,nm0364668,nm0397963,nm0089800
tt0019415	nm0000485	nm0902376,nm0000485
tt0019419	nm0187981	nm0184632,nm0469166
tt0019456	nm0215877	nm0309567,nm0413711,nm0908624
tt0019478	nm0840042	nm0108519,nm0860374
tt0019509	nm0002190	nm0002190
tt0019630	nm0922327	nm0922327,nm0837989,nm0942048,nm0140562,nm0637795
tt0019646	nm0478303	nm0077220,nm0478303,nm0957652
tt0019664	nm0215877	nm0599800,nm0520501,nm0128361,nm0030860
tt0019666	nm0624714	nm0725017,nm0413590
tt0019688	nm0564970,nm0395023	nm0907778,nm0564970
tt0019722	nm0102643	nm0014703,nm0191956,nm0002316,nm0928642
tt0019723	nm0896533	nm0081549,nm0896533
tt0019732	nm0671501	nm0066247,nm0388554
tt0019734	nm0387791	nm0387791
tt0019777	nm0282984,nm0763798	nm0442151,nm0753452
tt0019837	nm0209458	nm0236980,nm0209458,nm0701557,nm0058882
tt0019901	nm0000485	nm0902376,nm0000485
tt0019959	nm0896542	nm0875746,nm0770337,nm0725823,nm0896542,nm0014703
tt0020019	nm0454535	nm0366285,nm0388554
tt0020062	nm0275494	nm0767683,nm0473134,nm0014703
