titleId,titleType,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0190291,tvMovie,Carousel,1967.0,,100.0,Musical,7.2,61
tt0455374,short,Carousel,2003.0,,2.0,"Animation,Short",8.2,9
tt0553281,tvEpisode,Carousel,1988.0,,47.0,"Drama,Romance",6.8,79
tt0567404,tvEpisode,Carousel,1983.0,,48.0,"Drama,Romance",7.2,54
tt0635119,tvEpisode,Carousel,1978.0,,49.0,"Adventure,Sci-Fi",7.9,51
tt1119541,tvEpisode,Carousel,1999.0,,,"Family,Fantasy,Musical",4.3,13
tt1321357,movie,Carousel,2008.0,,84.0,Drama,3.2,10
tt2178975,short,Carousel,2011.0,,15.0,"Drama,Short",8.3,31
tt2294978,short,Carousel,2009.0,,3.0,"Crime,Short",7.8,43
tt4400952,short,Ringispil,2015.0,,14.0,"Documentary,Short",6.8,10
tt4695034,tvEpisode,Carousel,2014.0,,,"Animation,Comedy,Short",6.2,14
tt5202118,short,Carousel,2016.0,,6.0,"Drama,Short",6.5,44
tt7438846,short,Carousel,2017.0,,28.0,"Drama,Short,Thriller",8.7,69
tt0085302,tvMovie,Carpool,1983.0,,100.0,"Action,Comedy",5.0,114
tt0115836,movie,Carpool,1996.0,,89.0,Comedy,5.0,4774
tt0608129,tvEpisode,Carpool,1998.0,,,Comedy,5.5,13
tt1762503,tvSeries,Carpool,2010.0,2011.0,30.0,Talk-Show,7.1,43
tt1827379,short,Carpool,2011.0,,,"Drama,Short",8.8,14
tt1904859,short,Carpool,2011.0,,3.0,"Comedy,Short",5.2,12
tt0115837,movie,Carried Away,1996.0,,109.0,"Drama,Romance",6.3,1565
tt0207375,short,Carried Away,1987.0,,6.0,"Animation,Fantasy,Short",6.0,24
tt0303829,movie,Carried Away,1998.0,,87.0,Drama,7.2,33
tt0871802,tvEpisode,Carried Away,1999.0,,24.0,"Adventure,Comedy,Drama",8.2,16
tt10597562,tvEpisode,Carried Away,2019.0,,5.0,"Adventure,Animation,Comedy",9.2,74
tt1087339,tvEpisode,Carried Away,1996.0,,30.0,"Drama,Romance",5.4,11
tt1383702,movie,Carried Away,2009.0,,102.0,Drama,6.0,142
tt0112637,movie,Carrington,1995.0,,121.0,"Biography,Drama,Romance",6.8,5335
tt8899720,tvEpisode,Carrington,2018.0,,,Documentary,7.4,5
tt0225346,movie,Cartoon Noir,1999.0,,83.0,Animation,6.0,214
tt0046736,movie,Le avventure di Cartouche,1955.0,,85.0,Adventure,6.0,38
tt0055832,movie,Cartouche,1962.0,,114.0,"Action,Adventure,Comedy",6.6,2463
tt6753464,tvEpisode,Cartouche,2018.0,,89.0,"Crime,Drama,Mystery",8.0,809
tt0046834,movie,Casanova's Big Night,1954.0,,86.0,"Adventure,Comedy",6.8,1032
